iter	Passed	Remaining
0	135	135458
1	136	67933
2	136	45415
3	137	34147
4	137	27388
5	138	22889
6	138	19669
7	139	17256
8	139	15388
9	140	13891
10	140	12665
11	141	11644
12	142	10785
13	142	10042
14	143	9399
15	143	8836
16	144	8343
17	144	7901
18	145	7505
19	145	7151
20	146	6829
21	147	6536
22	147	6268
23	148	6027
24	148	5801
25	149	5595
26	149	5403
27	150	5225
28	151	5057
29	151	4900
30	152	4752
31	152	4617
32	153	4488
33	153	4366
34	154	4251
35	154	4144
36	155	4045
37	156	3949
38	156	3857
39	157	3769
40	157	3686
41	158	3606
42	158	3533
43	159	3461
44	159	3391
45	160	3326
46	160	3263
47	161	3203
48	162	3146
49	162	3094
50	163	3042
51	164	2990
52	164	2942
53	165	2895
54	165	2850
55	166	2806
56	167	2764
57	167	2722
58	168	2682
59	168	2642
60	169	2606
61	170	2572
62	170	2537
63	171	2504
64	171	2471
65	172	2441
66	173	2409
67	173	2375
68	173	2346
69	174	2317
70	174	2288
71	175	2261
72	175	2234
73	176	2210
74	177	2185
75	177	2161
76	178	2137
77	178	2114
78	179	2091
79	179	2069
80	180	2047
81	180	2026
82	181	2006
83	182	1986
84	182	1965
85	183	1947
86	183	1928
87	184	1911
88	184	1893
89	185	1877
90	186	1860
91	186	1844
92	187	1828
93	188	1815
94	189	1800
95	189	1785
96	190	1770
97	190	1754
98	191	1740
99	191	1725
100	192	1711
101	192	1695
102	193	1682
103	193	1669
104	194	1657
105	195	1647
106	195	1635
107	196	1623
108	197	1611
109	197	1599
110	198	1587
111	198	1577
112	199	1565
113	200	1554
114	200	1543
115	200	1531
116	201	1520
117	201	1509
118	202	1498
119	202	1487
120	203	1480
121	204	1470
122	204	1459
123	205	1449
124	205	1439
125	206	1430
126	206	1420
127	207	1410
128	207	1402
129	208	1393
130	209	1388
131	209	1379
132	210	1371
133	210	1362
134	211	1354
135	211	1346
136	212	1338
137	212	1329
138	213	1321
139	213	1313
140	214	1307
141	215	1300
142	215	1292
143	216	1285
144	216	1278
145	217	1272
146	218	1265
147	218	1258
148	219	1251
149	219	1244
150	220	1239
151	220	1232
152	221	1225
153	221	1219
154	222	1212
155	222	1206
156	223	1199
157	223	1193
158	224	1187
159	225	1181
160	225	1176
161	226	1171
162	226	1165
163	227	1159
164	227	1153
165	228	1147
166	229	1142
167	229	1137
168	230	1132
169	230	1127
170	231	1122
171	232	1116
172	232	1111
173	233	1106
174	233	1101
175	234	1096
176	234	1091
177	235	1085
178	235	1081
179	236	1076
180	236	1070
181	237	1065
182	237	1061
183	238	1056
184	238	1052
185	239	1049
186	240	1045
187	241	1043
188	242	1040
189	243	1038
190	244	1035
191	245	1032
192	245	1028
193	246	1024
194	247	1020
195	248	1017
196	248	1013
197	249	1009
198	249	1004
199	250	1000
200	250	996
201	251	992
202	251	988
203	252	984
204	252	981
205	253	977
206	254	973
207	254	969
208	255	965
209	255	962
210	256	958
211	256	954
212	257	951
213	258	948
214	258	945
215	259	941
216	260	938
217	260	934
218	261	930
219	261	927
220	262	923
221	262	919
222	263	917
223	263	914
224	268	924
225	269	922
226	269	919
227	270	916
228	271	913
229	272	910
230	272	908
231	273	905
232	274	902
233	274	899
234	275	896
235	276	893
236	276	891
237	277	888
238	278	885
239	278	883
240	279	880
241	280	877
242	280	875
243	281	872
244	282	870
245	283	868
246	283	865
247	284	863
248	285	860
249	286	858
250	287	856
251	287	854
252	288	851
253	288	848
254	289	845
255	290	843
256	290	840
257	291	838
258	292	835
259	292	832
260	293	829
261	293	827
262	294	824
263	295	822
264	295	820
265	296	819
266	297	816
267	298	814
268	298	812
269	299	809
270	300	807
271	300	804
272	301	801
273	301	799
274	302	797
275	303	794
276	303	792
277	304	790
278	305	788
279	305	786
280	306	784
281	307	782
282	307	779
283	308	777
284	309	775
285	309	773
286	310	770
287	310	768
288	311	766
289	312	763
290	312	761
291	313	759
292	314	758
293	314	756
294	315	753
295	315	751
296	316	749
297	317	747
298	318	746
299	319	744
300	319	742
301	320	740
302	321	738
303	321	736
304	322	734
305	322	732
306	323	730
307	324	728
308	324	726
309	325	724
310	326	723
311	326	721
312	327	719
313	328	716
314	328	714
315	329	712
316	329	710
317	330	709
318	331	707
319	331	705
320	332	703
321	333	701
322	333	700
323	334	698
324	335	696
325	336	695
326	336	693
327	337	691
328	338	689
329	338	687
330	339	685
331	340	684
332	340	682
333	341	680
334	341	678
335	342	677
336	343	675
337	343	673
338	344	671
339	345	670
340	345	668
341	346	666
342	347	664
343	347	663
344	348	661
345	349	659
346	349	657
347	350	656
348	350	654
349	351	652
350	352	651
351	352	649
352	353	647
353	354	646
354	354	644
355	355	642
356	355	641
357	356	639
358	357	638
359	358	636
360	358	635
361	359	633
362	359	631
363	360	629
364	361	628
365	361	626
366	362	624
367	362	623
368	363	621
369	364	620
370	364	618
371	365	616
372	366	615
373	366	613
374	367	612
375	368	610
376	368	609
377	369	608
378	370	606
379	370	604
380	371	603
381	371	601
382	372	600
383	373	599
384	374	598
385	375	596
386	375	595
387	376	593
388	377	592
389	378	591
390	379	590
391	379	589
392	380	587
393	381	586
394	381	584
395	382	583
396	383	581
397	383	580
398	384	578
399	385	577
400	385	576
401	386	574
402	387	573
403	387	571
404	388	570
405	389	569
406	389	567
407	390	566
408	391	565
409	391	563
410	392	562
411	392	560
412	393	559
413	394	557
414	394	556
415	395	555
416	396	553
417	396	552
418	397	551
