iter	RMSE
0	41.03984503
1	39.77523244
2	38.45385789
3	37.25024893
4	36.03569736
5	34.85740754
6	33.73213087
7	32.56905286
8	31.52927863
9	30.483143
10	29.47692959
11	28.48998261
12	27.62536768
13	26.71887432
14	25.8623451
15	24.99917635
16	24.26345601
17	23.54905862
18	22.77969779
19	22.07659105
20	21.37022333
21	20.72372477
22	20.07858734
23	19.45015691
24	18.86913908
25	18.29204361
26	17.74694121
27	17.18660579
28	16.6670527
29	16.14965196
30	15.65581445
31	15.14055955
32	14.67880454
33	14.21171341
34	13.7639432
35	13.36285214
36	12.9703464
37	12.57600004
38	12.20351691
39	11.85965203
40	11.50663204
41	11.16717688
42	10.83024909
43	10.4955391
44	10.18838068
45	9.871286288
46	9.575287064
47	9.277373561
48	9.001161371
49	8.748703793
50	8.487830366
51	8.232328796
52	7.98338643
53	7.765288245
54	7.537034434
55	7.317589779
56	7.124537875
57	6.926135383
58	6.747496579
59	6.56039473
60	6.369616872
61	6.196745429
62	6.022842019
63	5.854711102
64	5.695791216
65	5.535807996
66	5.393883695
67	5.244047338
68	5.099892371
69	4.965693338
70	4.83263017
71	4.713332502
72	4.593660317
73	4.475730047
74	4.379197947
75	4.264386536
76	4.161520142
77	4.064844486
78	3.970914607
79	3.887439262
80	3.798827687
81	3.715834324
82	3.628539164
83	3.546128764
84	3.467479622
85	3.388686763
86	3.31772848
87	3.248277879
88	3.178811728
89	3.107769366
90	3.044504464
91	2.983536392
92	2.923830664
93	2.873295538
94	2.820197043
95	2.771592818
96	2.715628634
97	2.665269299
98	2.615081548
99	2.564273729
100	2.51444949
101	2.469421365
102	2.425838465
103	2.387929628
104	2.34983336
105	2.310790883
106	2.274424533
107	2.233773697
108	2.19724726
109	2.162884846
110	2.130643545
111	2.097059305
112	2.067979649
113	2.036252474
114	2.009164374
115	1.98210178
116	1.955032535
117	1.929430475
118	1.905701435
119	1.886146032
120	1.864731489
121	1.841283705
122	1.822590457
123	1.804967982
124	1.783007643
125	1.764304865
126	1.750738883
127	1.744286249
128	1.725952953
129	1.709834971
130	1.693392658
131	1.685380242
132	1.669620114
133	1.654596234
134	1.646592259
135	1.631826772
136	1.615681267
137	1.602812767
138	1.587443216
139	1.577777548
140	1.566289316
141	1.561554962
142	1.550582655
143	1.533676772
144	1.529309864
145	1.51778007
146	1.50581009
147	1.495081937
148	1.482978583
149	1.471769627
150	1.462010128
151	1.451726771
152	1.440327714
153	1.43680777
154	1.425626674
155	1.422277907
156	1.412671422
157	1.40907314
158	1.39731305
159	1.393927039
160	1.387060552
161	1.382526726
162	1.375184353
163	1.372127674
164	1.367225337
165	1.364283452
166	1.35702749
167	1.348837248
168	1.346009812
169	1.340714133
170	1.336622565
171	1.327594569
172	1.322106338
173	1.319016577
174	1.315901749
175	1.312461968
176	1.307657355
177	1.30497882
178	1.302080276
179	1.299561585
180	1.297013342
181	1.294606478
182	1.291924616
183	1.289900332
184	1.283168338
185	1.276767033
186	1.274958977
187	1.272891537
188	1.270895923
189	1.264720541
190	1.261462826
191	1.259119674
192	1.257148496
193	1.249422717
194	1.241636862
195	1.235520516
196	1.232691488
197	1.230237674
198	1.227683314
199	1.225890445
200	1.224371246
201	1.223017543
202	1.221298963
203	1.219458012
204	1.217659925
205	1.208528152
206	1.207278419
207	1.205853585
208	1.203839974
209	1.201191934
210	1.199837736
211	1.198493628
212	1.19730751
213	1.195133928
214	1.193884743
215	1.192420914
216	1.191213003
217	1.188989078
218	1.184383164
219	1.183241507
220	1.182121346
221	1.181022288
222	1.179747633
223	1.17850297
224	1.177472135
225	1.176279684
226	1.173019135
227	1.166190905
228	1.165060351
229	1.16412204
230	1.163038998
231	1.16198144
232	1.156266591
233	1.152346054
234	1.14596478
235	1.138290887
236	1.136190217
237	1.135240317
238	1.134312757
239	1.129450952
240	1.125329614
241	1.11808666
242	1.11721346
243	1.115800086
244	1.114966989
245	1.113613823
246	1.106771954
247	1.102587616
248	1.101812845
249	1.097195274
250	1.096450036
251	1.095722341
252	1.095011761
253	1.090904432
254	1.086728325
255	1.086057314
256	1.081103278
257	1.077685702
258	1.076173797
259	1.071506245
260	1.069360393
261	1.067270751
262	1.065296014
263	1.063397609
264	1.05986499
265	1.058578521
266	1.05738716
267	1.056234843
268	1.055120206
269	1.051887466
270	1.05026025
271	1.049582792
272	1.048028241
273	1.04401278
274	1.043049297
275	1.04157855
276	1.039429298
277	1.038809004
278	1.037439951
279	1.036199554
280	1.03261583
281	1.032073275
282	1.03154368
283	1.030584819
284	1.030058388
285	1.028961861
286	1.027916555
287	1.02745152
288	1.024945616
289	1.022649257
290	1.018934625
291	1.018057709
292	1.017436067
293	1.016503946
294	1.016091755
295	1.015689325
296	1.015296417
297	1.013069975
298	1.010822638
299	1.007053975
300	1.006682289
301	1.006319406
302	1.005965107
303	1.00561918
304	1.005131238
305	1.004757679
306	1.000975687
307	0.999076912
308	0.9986190798
309	0.9956087342
310	0.993926922
311	0.9900764571
312	0.9879399415
313	0.9876382944
314	0.9844367983
315	0.9841442238
316	0.9825626691
317	0.9822804106
318	0.9820048697
319	0.9798046207
320	0.9762902169
321	0.97322373
322	0.9698341414
323	0.9678687813
324	0.9657943995
325	0.9618171475
326	0.9600723054
327	0.9573345925
328	0.9570802878
329	0.9546039227
330	0.9506456503
331	0.9490401213
332	0.9460425754
333	0.943240214
334	0.9430005604
335	0.9399386108
336	0.9380548616
337	0.9353776802
338	0.9338513141
339	0.9334834122
340	0.9312057571
341	0.9298012109
342	0.926396474
343	0.9239393584
344	0.9234268085
345	0.9222125484
346	0.9195420384
347	0.9165947741
348	0.9157047631
349	0.9137684014
350	0.9109978479
351	0.9092712109
352	0.9083699775
353	0.9063970388
354	0.904240948
355	0.9020978329
356	0.9006558724
357	0.9002697733
358	0.9000788407
359	0.8982754118
360	0.8958916864
361	0.8945441421
362	0.8917199879
363	0.889842425
364	0.8879240256
365	0.885637726
366	0.8854412034
367	0.8848365317
368	0.8826943951
369	0.8808835318
370	0.8783266213
371	0.8761705633
372	0.8743475832
373	0.8725373852
374	0.8705592227
375	0.8689534266
376	0.8670797417
377	0.8645363094
378	0.8623644299
379	0.8603323723
380	0.8591414684
381	0.8566906175
382	0.8549347188
383	0.8538828138
384	0.8521812746
385	0.8498998233
386	0.8487165692
387	0.8476467307
388	0.8459025229
389	0.8449050208
390	0.8426081813
391	0.8408627039
392	0.8392694306
393	0.837340312
394	0.8355776266
395	0.8333129288
396	0.8320448547
397	0.830348459
398	0.8280785823
399	0.8275737295
400	0.8258227485
401	0.8239771054
402	0.8236751503
403	0.8214280106
404	0.8198345423
405	0.818226041
406	0.816827524
407	0.8149717669
408	0.8130494757
409	0.8124286324
410	0.8113207226
411	0.8094620725
412	0.8080829877
413	0.8075007448
414	0.8070236098
415	0.8054913109
416	0.8039811818
417	0.8026351874
418	0.8008964113
419	0.7991039062
420	0.7985906631
421	0.7977527767
422	0.7973009599
423	0.7958138623
424	0.7946826673
425	0.7926452765
426	0.7907580142
427	0.788912061
428	0.7875218834
429	0.7856556116
430	0.7849318135
431	0.7833631673
432	0.7832625744
433	0.7815121057
434	0.7796777648
435	0.7792962492
436	0.7787949659
437	0.7775555701
438	0.7768035199
439	0.774048223
440	0.7723609692
441	0.7703857673
442	0.7696591876
443	0.768979846
444	0.7678550035
445	0.7671487794
446	0.7658709032
447	0.7646439915
448	0.7635469809
449	0.7619065058
450	0.7612977671
451	0.7594011618
452	0.7583526492
453	0.7573485127
454	0.7567099601
455	0.7552185531
456	0.7534826071
457	0.7520082747
458	0.749778607
459	0.748242413
460	0.7474598465
461	0.7454651651
462	0.7452302658
463	0.7431467221
464	0.7421868054
465	0.7407376089
466	0.7394335787
467	0.7375589872
468	0.7373288074
469	0.7358729197
470	0.7353099264
471	0.7335669981
472	0.7327702731
473	0.7310072896
474	0.7296767308
475	0.7284535511
476	0.7272530077
477	0.7262566226
478	0.7250932591
479	0.7237653391
480	0.7227728949
481	0.7211154274
482	0.7201841466
483	0.7198400577
484	0.7190141518
485	0.7187858317
486	0.7174755483
487	0.7165162822
488	0.7163539661
489	0.7149962631
490	0.71339501
491	0.7123894698
492	0.7110836974
493	0.7096974686
494	0.7086933058
495	0.7078906314
496	0.7062108723
497	0.7050688723
498	0.7039004494
499	0.7030386988
500	0.7016268434
501	0.7010522696
502	0.7000668701
503	0.6984942818
504	0.6982070902
505	0.697992431
506	0.6970505367
507	0.6955558279
508	0.693983704
509	0.6930474554
510	0.6919050374
511	0.690362303
512	0.6901717798
513	0.6887042845
514	0.6874941054
515	0.6860817459
516	0.6848562319
517	0.6839737279
