iter	Passed	Remaining
0	1	1014
1	1	896
2	2	855
3	3	841
4	4	815
5	4	811
6	5	803
7	6	794
8	7	788
9	7	783
10	8	785
11	9	782
12	10	782
13	11	783
14	11	783
15	12	786
16	13	783
17	14	782
18	15	784
19	15	781
20	16	777
21	17	776
22	18	775
23	19	773
24	19	774
25	20	774
26	21	772
27	22	779
28	23	778
29	24	779
30	24	779
31	25	778
32	26	777
33	27	776
34	28	774
35	28	772
36	29	772
37	30	775
38	31	775
39	32	772
40	32	769
41	33	767
42	34	766
43	35	767
44	36	769
45	37	778
46	38	778
47	39	776
48	40	782
49	41	782
50	41	780
51	43	786
52	43	785
53	44	784
54	45	782
55	46	781
56	47	779
57	47	776
58	49	785
59	50	783
60	50	782
61	51	781
62	52	780
63	53	779
64	54	778
65	54	777
66	55	776
67	56	775
68	57	773
69	58	773
70	58	771
71	60	774
72	60	773
73	61	773
74	62	771
75	63	772
76	64	771
77	65	770
78	65	769
79	66	767
80	67	765
81	68	763
82	69	762
83	69	760
84	70	759
85	71	757
86	72	755
87	72	753
88	73	752
89	74	751
90	75	749
91	75	747
92	76	746
93	77	745
94	79	755
95	80	758
96	81	756
97	81	754
98	82	753
99	83	752
100	84	754
101	85	753
102	86	753
103	87	752
104	88	750
105	88	748
106	89	747
107	90	745
108	90	743
109	91	742
110	92	741
111	93	740
112	94	739
113	95	738
114	95	737
115	96	736
116	97	735
117	98	735
118	99	735
119	100	735
120	101	733
121	102	734
122	102	732
123	103	731
124	104	730
125	105	730
126	106	729
127	106	728
128	107	727
129	108	726
130	109	725
131	110	725
132	111	724
133	112	723
134	112	723
135	113	723
136	114	722
137	115	721
138	116	720
139	117	720
140	118	719
141	118	715
142	119	715
143	120	715
144	121	714
145	121	712
146	122	711
147	123	710
148	124	710
149	125	708
150	125	707
151	126	705
152	127	704
153	127	701
154	128	700
155	128	697
156	129	696
157	130	694
158	131	694
159	132	693
160	132	691
161	133	690
162	134	689
163	134	687
164	135	686
165	136	685
166	137	684
167	138	683
168	138	680
169	139	679
170	139	677
171	140	676
172	141	675
173	142	675
174	143	674
175	143	673
176	144	672
177	145	669
178	145	666
179	146	665
180	147	665
181	147	662
182	147	660
183	148	658
184	149	657
185	150	656
186	150	654
187	150	651
188	151	649
189	152	648
190	152	647
191	153	646
192	154	645
193	155	645
194	155	643
195	156	642
196	157	642
197	158	640
198	158	639
199	159	638
200	160	636
201	160	635
202	161	635
203	162	632
204	162	630
205	163	629
206	163	626
207	163	624
208	164	623
209	165	622
210	165	620
211	166	618
212	166	616
213	167	615
214	167	613
215	168	610
216	168	608
217	169	606
218	169	605
219	170	603
220	170	601
221	171	599
222	171	597
223	171	595
224	172	593
225	172	591
226	173	592
227	174	591
228	175	589
229	175	588
230	175	585
231	176	583
232	177	582
233	177	581
234	178	581
235	179	580
236	180	579
237	180	577
238	180	575
239	181	574
240	182	574
241	183	573
242	183	571
243	183	569
244	184	567
245	184	566
246	185	565
247	186	564
248	186	563
249	187	562
250	187	560
251	188	558
252	188	556
253	189	556
254	190	555
255	190	554
256	191	553
257	192	553
258	193	553
259	194	552
260	194	551
261	195	550
262	196	549
263	196	549
264	197	548
265	198	547
266	199	547
267	199	546
268	200	545
269	201	544
270	202	543
271	202	543
272	203	543
273	204	542
274	205	541
275	206	541
276	207	540
277	207	539
278	208	538
279	209	538
280	210	537
281	210	536
282	211	535
283	212	534
284	212	533
285	213	532
286	214	531
287	214	530
288	215	529
289	216	529
290	217	529
291	218	528
292	218	528
293	219	527
294	220	526
295	220	524
296	221	523
297	221	522
298	222	522
299	223	521
300	224	520
301	224	519
302	225	517
303	225	516
304	226	515
305	227	514
306	227	514
307	228	513
308	229	513
309	230	512
310	231	512
311	231	511
312	232	510
313	233	509
314	233	508
315	234	507
316	235	507
317	236	506
318	236	505
319	237	504
320	238	503
321	238	503
322	239	502
323	240	502
324	241	502
325	242	501
326	243	500
327	244	500
328	244	499
329	245	498
330	246	497
331	247	497
332	248	496
333	248	496
334	249	495
335	250	494
336	250	493
337	251	492
338	252	492
339	253	491
340	254	490
341	254	490
342	255	489
343	256	488
344	257	488
345	257	487
346	258	487
347	259	486
348	260	485
349	261	485
350	262	484
351	262	483
352	263	483
353	264	482
354	265	482
355	266	481
356	266	480
357	267	480
358	268	478
359	268	478
360	269	477
361	270	476
362	270	475
363	272	475
364	273	475
365	274	475
366	275	474
367	276	474
368	277	473
369	277	473
370	278	472
371	279	472
372	280	471
373	281	470
374	282	470
375	282	469
376	283	468
377	284	468
378	285	467
379	286	467
380	287	466
381	287	465
382	288	465
383	289	464
384	290	463
385	291	463
386	292	463
387	293	462
388	294	461
389	294	461
390	295	460
391	296	460
392	297	459
393	298	458
394	299	458
395	299	457
396	300	456
397	301	456
398	302	455
399	303	455
400	304	454
401	305	453
402	305	453
403	306	452
404	307	451
405	308	451
406	309	450
407	310	449
408	310	449
409	311	448
410	312	448
411	313	447
412	314	447
413	315	446
414	316	445
415	317	445
416	318	444
417	318	443
418	319	443
419	320	442
420	321	441
421	321	440
422	322	440
423	323	440
424	324	439
425	325	438
426	326	437
427	327	437
428	328	436
429	329	437
430	330	436
431	331	435
432	332	434
433	332	434
434	333	433
435	334	432
436	335	432
437	336	431
438	337	430
439	337	429
440	338	429
441	339	428
442	340	427
443	341	427
444	341	426
445	342	425
446	343	425
447	344	424
448	345	424
449	346	423
450	347	422
451	348	422
452	349	421
453	349	420
454	350	419
455	351	419
456	352	418
457	352	417
458	354	417
459	354	416
460	355	415
461	356	415
462	357	414
463	358	413
464	358	412
465	359	412
466	360	411
467	361	410
468	362	409
469	362	409
